Neuron,Tarantula Susp,,Tarantula Conf,,Susp Rank,Conf RAnk,Sum of Ranks
Neuron #:62,Susp of > 0,0.313282475,Conf of > 0,0.876802987,223,45,268
Neuron #:65,Susp of = 0,0.36530849,Conf of = 0,0.810792466,209,61,270
Neuron #:51,Susp of > 0,0.465494089,Conf of > 0,0.344476498,154,120,274
Neuron #:124,Susp of = 0,0.485700157,Conf of = 0,0.035296114,135,139,274
Neuron #:59,Susp of > 0,0.416260507,Conf of > 0,0.701170881,192,84,276
Neuron #:121,Susp of = 0,0.425702521,Conf of = 0,0.629560496,185,91,276
Neuron #:110,Susp of > 0,0.379944921,Conf of > 0,0.761581537,205,72,277
Neuron #:55,Susp of = 0,0.30455782,Conf of = 0,0.837264551,225,53,278
Neuron #:87,Susp of > 0,0.430287321,Conf of > 0,0.529611403,180,103,283
Neuron #:98,Susp of = 0,0.438488024,Conf of = 0,0.469540132,172,111,283
Neuron #:104,Susp of > 0,0.425489728,Conf of > 0,0.585100967,187,97,284
Neuron #:15,Susp of > 0,0.412632838,Conf of > 0,0.616833531,194,92,286
Neuron #:82,Susp of = 0,0.315221038,Conf of = 0,0.796538266,222,65,287
Neuron #:89,Susp of > 0,0.378897962,Conf of > 0,0.710334295,206,82,288
Neuron #:125,Susp of > 0,0.357303098,Conf of > 0,0.719497709,212,78,290
Neuron #:3,Susp of > 0,0.334289088,Conf of > 0,0.730188359,218,76,294
Neuron #:100,Susp of = 0,0.445278009,Conf of = 0,0.290683862,169,125,294
Neuron #:25,Susp of = 0,0.281248509,Conf of = 0,0.766672323,229,70,299
Neuron #:26,Susp of > 0,0.353403298,Conf of > 0,0.609876124,214,94,308
Neuron #:33,Susp of > 0,0.425548816,Conf of > 0,0.269981334,186,127,313
Neuron #:73,Susp of > 0,0.373771116,Conf of > 0,0.502630239,207,107,314
Neuron #:116,Susp of = 0,0.302294266,Conf of = 0,0.615475988,226,93,319
Neuron #:101,Susp of > 0,0.336252889,Conf of > 0,0.526387239,217,104,321
Neuron #:120,Susp of = 0,0.388797255,Conf of = 0,0.26200577,200,129,329
Neuron #:19,Susp of = 0,0.326763888,Conf of = 0,0.480739861,221,110,331
Neuron #:81,Susp of > 0,0.332613025,Conf of > 0,0.46818259,219,112,331
Neuron #:80,Susp of > 0,0.194935578,Conf of > 0,0.550653317,232,101,333
Neuron #:61,Susp of = 0,0.384083947,Conf of = 0,0.213812998,204,131,335
Neuron #:6,Susp of = 0,0.286269462,Conf of = 0,0.332428305,227,122,349
Neuron #:127,Susp of = 0,0.270780683,Conf of = 0,0.179535042,230,133,363
Neuron #:76,Susp of = 0,0.23016834,Conf of = 0,0.111488206,231,136,367
Neuron #:41,Susp of > 0,0,Conf of > 0,0.023078228,233,141,374
Neuron #:42,Susp of > 0,0,Conf of > 0,0.010011878,233,142,375
Neuron #:44,Susp of = 0,0,Conf of = 0,8.48E-04,233,143,376
Neuron #:17,Susp of = 0,0,Conf of = 0,8.48E-04,233,143,376
Neuron #:111,Susp of = 0,0,Conf of = 0,1.70E-04,233,144,377
Neuron #:75,Susp of = 0,0,Conf of = 0,1.70E-04,233,144,377
